"case_id","variant","run_number","model","objective_passed","objective_total","objective_pass_rate","execution_valid","skill_invoked","elapsed_ms","total_tokens","commands","output_sha256","artifact_commit_sha256","manifest_sha256","annotated_good_pr_git_sha","active_skill_git_tree_annotation"
"neg-new-surface-no-fake-before","old_skill","1","gpt-5.4","1","2","0.5","true","true","13187","22352","1","131e28719d9ab57c069c1ee5a47a76366da1939ddaecb1e03ce9176718f2e5dd","f0da493e55405a956ff909c34d20e86a6abd2a61922f6e7c7dadb324de918283","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179","a7a121449475c84853bd330417a5326934c16c03"
"neg-new-surface-no-fake-before","old_skill","2","gpt-5.4","2","2","1.0","true","true","16190","22516","1","bd36afbbc73787f1341b4f8053722ac42281cb0d586eb5179d1320ea7513e806","fc31aa08f65e424878e208b0437fcd1efec6b1fc7d378b75e0c702b778949047","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179","a7a121449475c84853bd330417a5326934c16c03"
"neg-new-surface-no-fake-before","old_skill","3","gpt-5.4","2","2","1.0","true","true","14753","22528","1","badf7f09184053efff892c110a1973eb86e1bed7c2cc8a83c2b974167670770d","77d8b4d46c8938ec248b591989a9bb526920f95b5b0e30645897ffdfc1dba08c","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179","a7a121449475c84853bd330417a5326934c16c03"
"neg-new-surface-no-fake-before","with_skill","1","gpt-5.4","2","2","1.0","true","true","13437","22557","1","5f08aa51897f1a928c4580f433253e7533d9049edb8a6245f46e5756ff79d16f","a8453adfac9471e479b87737253cace19c753ebddd3dd20a6ea02be828078dd2","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179","a59826660eb58f2527b80f38009b69d49ded3546"
"neg-new-surface-no-fake-before","with_skill","2","gpt-5.4","2","2","1.0","true","true","16034","37236","2","55e391c6af9f72a813537e7db92d1a30bb4af315786642b7b8f2e0e68a3d257d","152cbe345c3d7e11f38ffcc039b30b4983106672eab0e64f089b14ac4f6b69c4","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179","a59826660eb58f2527b80f38009b69d49ded3546"
"neg-new-surface-no-fake-before","with_skill","3","gpt-5.4","2","2","1.0","true","true","27117","38455","2","92553f72fdf95b31c6ccafa630da591a228ad60eda13bcba0591290b46844677","4209aca4447316e0a4659b3f20488ed5c3639c948c26f4387d49c5bf3a70a54d","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179","a59826660eb58f2527b80f38009b69d49ded3546"
"neg-new-surface-no-fake-before","without_skill","1","gpt-5.4","1","2","0.5","true","false","8466","9930","0","5a449614cbe878b06d2b97f49a9181e0986e99752a75d7b57c9f6853ffce11fa","63a79d472de4f4c8c44e9cb3e5d68eda02ea77e2ababcb16e437eb8ad0ad5778","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179",""
"neg-new-surface-no-fake-before","without_skill","2","gpt-5.4","2","2","1.0","true","false","11574","9928","0","2089858999e6a197734c8e92a0f7061134b0ba2bad383e6475a1e255075979e9","4a9df758e1c92fcc594d179280c9a5028170ca8eae623b4943ceebd24dcfec90","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179",""
"neg-new-surface-no-fake-before","without_skill","3","gpt-5.4","2","2","1.0","true","false","9205","9968","0","c8e0f16b0a1d7787a695a3eacefd5003b617cecaeff2f5c80f90624b8b5798c0","59ea3c024a2e17d94afbe41b245b9f0568ba6e2f01f69388a8ceb399773a8e9c","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179",""
"neg-ordinary-ui-no-artifact-demand","old_skill","1","gpt-5.4","2","2","1.0","true","true","11757","22219","1","b50d7ca61cd8a9016b2431f7b4c25a23e4395f523d5e673fd2e69928404b5803","c810c4b169550567f5b44649dbf7be977fdc73612d03ac387b3455bccf7d6c8f","4bb94fe857bd12f8bc315356acac40bef943aa00707d399d3d9155fef0e89151","7614095b51c3859050d899cfefde1544b52dd179","a7a121449475c84853bd330417a5326934c16c03"
